# Command: bash -c lsof -nP 2>/dev/null | head -n 200 || true
# Date: Thu Jan 29 09:23:31 CST 2026

COMMAND     PID     USER   FD      TYPE             DEVICE      SIZE/OFF                NODE NAME
loginwind   585 patopina  cwd       DIR               1,16           704                   2 /
cfprefsd    940 patopina    4       DIR               1,16           192             7213933 /Users/patopina/Library/Containers/net.whatsapp.WhatsApp/Data/Library/Preferences
UserEvent   941 patopina  cwd       DIR               1,16           704                   2 /
UserEvent   941 patopina  txt       REG               1,16        178832 1152921500312564686 /usr/libexec/UserEventAgent
UserEvent   941 patopina  txt       REG               1,16         73840             8400197 /Library/Preferences/Logging/.plist-cache.Mge4C6lV
UserEvent   941 patopina  txt       REG               1,16        121568 1152921500312530469 /System/Library/UserEventPlugins/PrinterMonitor.plugin/Contents/MacOS/PrinterMonitor
UserEvent   941 patopina  txt       REG               1,16        123280 1152921500312530327 /System/Library/UserEventPlugins/AppleHIDMouseAgent.plugin/Contents/MacOS/AppleHIDMouseAgent
UserEvent   941 patopina  txt       REG               1,16        121232 1152921500312530338 /System/Library/UserEventPlugins/BluetoothUserAgent-Plugin.plugin/Contents/MacOS/BluetoothUserAgent-Plugin
UserEvent   941 patopina  txt       REG               1,16        122448 1152921500312530349 /System/Library/UserEventPlugins/BonjourEvents.plugin/Contents/MacOS/BonjourEvents
UserEvent   941 patopina  txt       REG               1,16        123968 1152921500312530360 /System/Library/UserEventPlugins/CaptiveUserAgent.plugin/Contents/MacOS/CaptiveUserAgent
UserEvent   941 patopina  txt       REG               1,16        126304 1152921500312530371 /System/Library/UserEventPlugins/EAPOLMonitor.plugin/Contents/MacOS/EAPOLMonitor
